"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_01746",1258.3065781732,0.522461293628057,0.158875681161371,3.28849128959762,0.00100725901248932,0.00635347992493261
"LFTS_01747",356.237018168427,0.3934863776626,0.208266543294416,1.88934032052545,0.058846242069589,0.164128974479806
"LFTS_01748",505.798495333373,0.289273029716934,0.176664765476446,1.63741212876713,0.101544385644885,0.24514150018294
"LFTS_01749",1079.59574842016,0.36628760509473,0.179587149833363,2.03960921165353,0.0413892638378565,0.125890861230386
"LFTS_01750",10.3850605570244,-0.25602801681895,0.868733704626304,-0.294714036597767,0.768212339536806,0.876944257727685
"LFTS_01751",4490.86831517701,0.484564813745172,0.145694936526594,3.32588643982644,0.000881378295235038,0.00564632970384946
"LFTS_01752",1454.8856183657,0.236854469867256,0.151672071639686,1.56162217148277,0.118377023200688,0.274724034975182
"LFTS_01753",783.298060420183,0.129329778899513,0.171330629892033,0.754854978243018,0.450336001932,0.659420574257571
"LFTS_01754",422.014987495044,0.292157895567307,0.197749218675123,1.4774161815895,0.139564111197391,0.308193638730324
"LFTS_01755",234.113706627468,-0.0553330754542978,0.23893419832464,-0.231582903754601,0.816861987392352,0.897858688103957
"LFTS_01756",1462.59237912099,0.210884047770778,0.1878773976149,1.12245565697602,0.261668751387062,0.466994929621001
"LFTS_01757",2702.68123784483,-0.0477200377630457,0.180560066428402,-0.264288990954532,0.791557242734443,0.886564924398288
"LFTS_01758",188.642629198063,-0.300666700949535,0.249850631483247,-1.20338579560363,0.228827062039792,0.432759840312134
"LFTS_01759",817.178202497362,-0.223506694622218,0.183682286232789,-1.21681137145123,0.223675992468739,0.425998946155264
"LFTS_01760",533.354307462165,-0.0164643943499351,0.178210212532398,-0.0923874906829032,0.926390177909514,0.963559165682023
"LFTS_01761",1703.21600820015,0.100047563032407,0.160211169164567,0.624473084829931,0.532316941016803,0.72508287646807
"LFTS_01762",264.327891587457,-0.486418110448568,0.243882589515111,-1.99447656930193,0.0460999980702341,0.135168051552772
"LFTS_01763",55.4447552336484,0.0550243921558662,0.34845121940048,0.157911320415343,0.87452667758816,0.931373146977509
"LFTS_01764",293.698152051187,0.108952571646277,0.216133467773622,0.504098568206911,0.614192113033021,0.782189823045933
"LFTS_01765",258.121153666941,0.0930481984990824,0.209633285159207,0.443861758062021,0.657142534571154,0.806671973575369
"LFTS_01766",47.2615071135048,-2.82519216192335,0.519061347378207,-5.44288681134412,5.24239603097009e-08,9.99712731487319e-07
"LFTS_01767",577.585689729499,-0.538405968646266,0.205504933152471,-2.61991748999429,0.0087951043850074,0.0387741161059466
"LFTS_01768",408.475302626777,0.672871960049047,0.217930055577775,3.08755925503315,0.00201807533794249,0.0113863883746296
"LFTS_01769",842.465895075077,0.184033217290652,0.160811935165699,1.1444002405731,0.25245768850071,0.458336467683947
"LFTS_01770",1237.91090119917,0.50302329091606,0.16859087416357,2.98369228709271,0.00284793025092533,0.0150019452190071
"LFTS_01771",2390.00976164059,0.566614624037518,0.144557578929402,3.91964660887298,8.86789033329273e-05,0.000796168256200734
"LFTS_01772",903.045368455672,0.125392793330123,0.179282697450645,0.699413803524696,0.484293463854793,0.686663931459822
"LFTS_01773",387.657858015908,-0.224302366040858,0.238879538840087,-0.93897688822571,0.347742610624239,0.55984739668562
"LFTS_01774",515.164079941062,0.544854058417001,0.169960574409189,3.20576733934328,0.00134702854099272,0.00818195113788171
"LFTS_01775",1617.5548778975,0.477628574620846,0.173377275888258,2.75485107361289,0.00587188561688003,0.0277785358029325
"LFTS_01776",601.6059938324,0.376848727783512,0.201259521228985,1.87245167573836,0.0611441415096883,0.168626219858557
"LFTS_01777",752.590546597864,0.249122409231508,0.166843235427662,1.49315259077146,0.135397248836225,0.301700391428545
"LFTS_01778",468.085538649147,-0.221226661099438,0.207346321067987,-1.06694278422668,0.285997673373149,0.495112087612911
